# Historical KBO FA seed.
# Generated from the NamuWiki historical KBO FA page via namu.moe on 2026-05-14.
# This file intentionally follows the compact bundled-seed style: no save-scoped numeric OOTP ids, only stable player_key/team_code fields.
# player_key is an OOTP export key resolved from cbt_player_team_seasons_seed.csv using romanized player name plus team context and manual review for same-name rows.
# compensation_player_key uses the signing team context because compensation players come from the acquiring club.
# Rows whose FA player_key could not be resolved remain excluded and are listed in obj/reports/historical_fa_seed_unmapped.csv.
# team_code uses existing seed codes: LG, HH, SSG, SAM, NC, kt, LOT, KIA, DOO, KIW. Defunct Hyundai/Heroes-era rows are folded into KIW.
# movement: retained, transfer, overseas. case_label is KBO_FA_APPROVED for official historical FA contracts.
# compensation_type: none, player_plus_cash, cash_only, overseas, unknown.
# contract_years uses numeric tokens only; option years are comma-separated, for example 4,2.
# grade is PRE_GRADE_SYSTEM before 2021; 2021+ grades are A/B/C when listed in annual FA qualification tables, or NOT_GRADED for non-graded overseas-return cases.
season,fa_round,player_key,player_name,original_team_code,signing_team_code,movement,case_label,grade,contract_years,total_contract_value_krw_100m,option_value_krw_100m,compensation_type,compensation_player_key,compensation_player_name,requalification_fa_count,status,source_note
2000,1,kim---017jeo,Jeong-su Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.5,0,none,NONE,NONE,1,active,retained_pitcher
2000,1,song--000yu-,Yu-seok Song,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.75,0,none,NONE,NONE,1,active,retained_pitcher
2000,1,song--000jin,Jin-u Song,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,7,0,none,NONE,NONE,1,active,retained_pitcher
2001,1,cho---001gye,Gye-hyeon Cho,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2.08,0,none,NONE,NONE,1,active,retained_pitcher
2001,1,kim---016san,Sang-jin Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8.5,0,none,NONE,NONE,1,active,retained_pitcher
2002,1,kim---001won,Won-hyeong Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,14,3,none,NONE,NONE,1,active,retained_pitcher
2003,1,gang--000san,Sang-su Kang,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,4,6,none,NONE,NONE,1,active,retained_pitcher
2003,2,song--000jin,Jin-u Song,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,9,none,NONE,NONE,2,active,retained_pitcher
2004,1,ka----000deu,Deuk-Yeom Ka,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,5.6,0,none,NONE,NONE,1,active,retained_pitcher
2004,1,cho---000woo,Ung-cheon Cho,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",17.5,0,none,NONE,NONE,1,active,retained_pitcher
2005,1,oh----000bon,Bong-ok Oh,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,3,0,none,NONE,NONE,1,active,retained_pitcher
2005,1,lim---001cha,Chang-yong Lim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,18,2,none,NONE,NONE,1,active,retained_pitcher
2006,1,wi----000jae,Jae-yeong Wi,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8,9,none,NONE,NONE,1,active,retained_pitcher
2006,3,song--000jin,Jin-u Song,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,14,2,none,NONE,NONE,3,active,retained_pitcher
2007,1,jun---001bye,Byeong-ho Jeon,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,9,5,none,NONE,NONE,1,active,retained_pitcher
2007,1,kwon--000jun,Jun-heon Kwon,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8.5,5,none,NONE,NONE,1,active,retained_pitcher
2007,1,kim---002soo,Su-gyeong Kim,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,2",5,1,none,NONE,NONE,1,active,retained_pitcher
2007,2,kim---001won,Won-hyeong Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7.5,5,none,NONE,NONE,2,active,retained_pitcher
2008,2,cho---000woo,Ung-cheon Cho,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,8,0,none,NONE,NONE,2,active,retained_pitcher
2008,1,ryu---000tae,Taek-hyeon Ryu,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",6.5,5,none,NONE,NONE,1,active,retained_pitcher
2009,1,son---000min,Min-han Son,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,15,0,none,NONE,NONE,1,active,retained_pitcher
2009,1,choi--000won,Won-ho Choi,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,2,0,none,NONE,NONE,1,active,retained_pitcher
2011,1,bae---000you,Yeong-su Bae,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,17,1,none,NONE,NONE,1,active,retained_pitcher
2012,1,chung-000jae,Jae-hun Jung,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28,1,none,NONE,NONE,1,active,retained_pitcher
2012,1,lee---014san,Sang-yeol Lee,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6,7,none,NONE,NONE,1,active,retained_pitcher
2012,1,lee---004seu,Seung-ho Lee,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,2,0,none,NONE,NONE,1,active,retained_pitcher
2013,1,lee---002jeo,Jeong-hun Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,5,0,none,NONE,NONE,1,active,retained_pitcher
2013,1,yu----000don,Dong-hun Yoo,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7.5,0,none,NONE,NONE,1,active,retained_pitcher
2013,1,ma----000il-,Il-yeong Ma,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8,0,none,NONE,NONE,1,active,retained_pitcher
2014,1,jang--000won,Won-sam Jang,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,60,0,none,NONE,NONE,1,active,retained_pitcher
2014,1,kang--001you,Yeong-sik Kang,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,17,1,none,NONE,NONE,1,active,retained_pitcher
2014,1,park--003jeo,Jeong-jin Park,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,8,1,none,NONE,NONE,1,active,retained_pitcher
2015,1,yun---003seo,Seong-hwan Yoon,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,80,0,none,NONE,NONE,1,active,retained_pitcher
2015,1,an----000ji-,Ji-man Ahn,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,65,0,none,NONE,NONE,1,active,retained_pitcher
2015,1,lee---007jae,Jae-yeong Lee,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5.5,0,none,NONE,NONE,1,active,retained_pitcher
2015,1,yoon--000suk,Seok-min Yoon,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,90,0,none,NONE,NONE,1,active,retained_pitcher
2016,1,song--001seu,Seung-jun Song,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,40,0,none,NONE,NONE,1,active,retained_pitcher
2016,1,ma----000jeo,Jeong-gil Ma,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6.2,0,none,NONE,NONE,1,active,retained_pitcher
2016,1,lee---006don,Dong-hyeon Lee,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,30,0,none,NONE,NONE,1,active,retained_pitcher
2016,1,chae--000bye,Byeong-yong Chae,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",10.5,0,none,NONE,NONE,1,active,retained_pitcher
2017,1,kim---002gwa,Gwang-hyeon Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,85,UNKNOWN,none,NONE,NONE,1,active,retained_pitcher
2017,1,lee---004hye,Hyeon-seung Lee,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,27,3,none,NONE,NONE,1,active,retained_pitcher
2017,1,yang--000hye,Hyeon-jong Yang,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,22.5,0,none,NONE,NONE,1,active,retained_pitcher
2018,1,kwon--000oh-,O-jun Kwon,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6,0,none,NONE,NONE,1,active,retained_pitcher
2018,2,park--003jeo,Jeong-jin Park,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7.5,0,none,NONE,NONE,2,active,retained_pitcher
2018,1,kim---002seu,Seung-hoe Kim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",3,0,none,NONE,NONE,1,active,retained_pitcher
2018,1,an----000you,Yeong-myeong Ahn,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,12,0,none,NONE,NONE,1,active,retained_pitcher
2019,1,geum--000min,Min-cheol Geum,kt,kt,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,7,3,none,NONE,NONE,1,active,retained_pitcher
2019,2,yun---003seo,Seong-hwan Yoon,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,10,6,none,NONE,NONE,2,active,retained_pitcher
2019,1,lee---000bo-,Bo-geun Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",19,8,none,NONE,NONE,1,active,retained_pitcher
