# College team reputation seed for amateur player quality tuning.
# Source: saved_games/New Game61.lg/import_export/league_structure.xml, KUSF College Baseball U-League.
# reputation uses the same 1-100 amateur scale as high_school_reputation_seed.csv.
# College powers are intentionally capped below top high-school powers because KBO talent flow is high-school-first;
# college rosters mostly receive players who were not drafted directly from high school.
# Values are curated starting points by college baseball tradition, recruiting pull, athletic department profile, and relative college strength.
# TODO: allow reputation to drift from college season results and drafted/signed player outcomes in future seasons.
league_id,league_abbr,league_name,division_id,division_name,team_id,team_abbr,team_name,nick_name,reputation,tier,notes
201,U-League,KUSF College Baseball U-League,1,Group A,51,CUFS,Cyber Hankuk University of Foreign Studies,Baseball Team,34,club_level,"CUFS: participant-level program with very limited elite-baseball pull"
201,U-League,KUSF College Baseball U-League,1,Group A,54,YSU,Yonsei University,Baseball Team,74,college_elite,"Yonsei: college elite, but below direct high-school draft powers"
201,U-League,KUSF College Baseball U-League,1,Group A,59,JAU,Jangan University,Baseball Team,50,standard,"Jangan: standard college program"
201,U-League,KUSF College Baseball U-League,1,Group A,66,YASU,Yong-In Arts & Science University,Baseball Team,54,solid,"Yong-In Arts & Science: respectable college profile"
201,U-League,KUSF College Baseball U-League,1,Group A,77,KU,Konkuk University,Baseball Team,68,college_strong,"Konkuk: established college program"
201,U-League,KUSF College Baseball U-League,1,Group A,79,TWU,Tongwon University,Baseball Team,49,standard,"Tongwon: lower-to-mid college program"
201,U-League,KUSF College Baseball U-League,1,Group A,80,SKKU,Sungkyunkwan University,Baseball Team,72,college_strong,"Sungkyunkwan: strong college brand and program"
201,U-League,KUSF College Baseball U-League,1,Group A,83,SAU,Shin Ansan University,Baseball Team,45,development,"Shin Ansan: lower-profile college program"
201,U-League,KUSF College Baseball U-League,1,Group A,84,KPU,Kimpo University,Baseball Team,45,development,"Kimpo: lower-profile college program"
201,U-League,KUSF College Baseball U-League,1,Group A,86,KGST,Korea Golf Science and Technology University,Baseball Team,35,club_level,"KGST: niche school profile with limited baseball pipeline"
201,U-League,KUSF College Baseball U-League,1,Group A,89,KTC,Korea Tourism College,Baseball Team,34,club_level,"Korea Tourism College: niche college profile with limited baseball tradition"
201,U-League,KUSF College Baseball U-League,1,Group A,93,JTU,Jeju Tourism University,Baseball Team,35,club_level,"Jeju Tourism: regional/niche college program"
201,U-League,KUSF College Baseball U-League,2,Group B,47,HYU,Hanyang University,Baseball Team,73,college_strong,"Hanyang: historic college program, below direct high-school draft powers"
201,U-League,KUSF College Baseball U-League,2,Group B,53,KMU,Kyungmin University,Baseball Team,52,standard,"Kyungmin: standard college program"
201,U-League,KUSF College Baseball U-League,2,Group B,55,GYU,Gangneung Yeongdong University,Baseball Team,62,solid,"Gangneung Yeongdong: respected regional college program"
201,U-League,KUSF College Baseball U-League,2,Group B,56,YIT,Yeoju Institute of Technology,Baseball Team,47,development,"Yeoju Institute of Technology: lower-profile college program"
201,U-League,KUSF College Baseball U-League,2,Group B,58,KHU,Kyung Hee University,Baseball Team,68,college_strong,"Kyung Hee: major college program"
201,U-League,KUSF College Baseball U-League,2,Group B,61,SNU,Seoul National University,Baseball Team,24,recreational,"Seoul National: academic school with a club-like baseball profile, one of the weakest talent pulls"
201,U-League,KUSF College Baseball U-League,2,Group B,62,INU,Inha University,Baseball Team,61,solid,"Inha: solid regional college profile"
201,U-League,KUSF College Baseball U-League,2,Group B,63,DGU,Dongguk University,Baseball Team,75,college_elite,"Dongguk: college power, capped below top high-school powers"
201,U-League,KUSF College Baseball U-League,2,Group B,68,CAU,Chung-Ang University,Baseball Team,70,college_strong,"Chung-Ang: strong college tradition"
201,U-League,KUSF College Baseball U-League,2,Group B,90,KU,Korea University,Baseball Team,74,college_elite,"Korea University: college elite, but below top high-school powers on this shared scale"
201,U-League,KUSF College Baseball U-League,2,Group B,94,SCAU,Digital Seoul Culture Arts University,Baseball Team,38,development,"Digital Seoul Culture Arts: lower-profile baseball program"
201,U-League,KUSF College Baseball U-League,3,Group C,49,SHSU,Shinsung University,Baseball Team,49,standard,"Shinsung: standard college program"
201,U-League,KUSF College Baseball U-League,3,Group C,50,DKU,Dankook University,Baseball Team,70,college_strong,"Dankook: strong college baseball profile"
201,U-League,KUSF College Baseball U-League,3,Group C,64,CHSU,Chungbuk Health & Science University,Baseball Team,54,solid,"Chungbuk Health & Science: solid regional/sports college profile"
201,U-League,KUSF College Baseball U-League,3,Group C,65,U1U,U1 University,Baseball Team,47,development,"U1: lower-profile college program"
201,U-League,KUSF College Baseball U-League,3,Group C,72,DDU,Daeduk University,Baseball Team,50,standard,"Daeduk: standard college program"
201,U-League,KUSF College Baseball U-League,3,Group C,74,CWU,Chungwoon University,Baseball Team,52,standard,"Chungwoon: standard college program"
201,U-League,KUSF College Baseball U-League,3,Group C,82,WSU,Woosuk University,Baseball Team,55,solid,"Woosuk: solid regional college program"
201,U-League,KUSF College Baseball U-League,3,Group C,95,HIU,Hongik University,Baseball Team,49,standard,"Hongik: major school brand, modest baseball profile"
201,U-League,KUSF College Baseball U-League,4,Group D,60,KNU,Kyungnam University,Baseball Team,61,solid,"Kyungnam: established southern-region college program"
201,U-League,KUSF College Baseball U-League,4,Group D,67,DEU,Dong-Eui University,Baseball Team,70,college_strong,"Dong-Eui: strong Busan/Gyeongnam college program and 2025 D-group 왕중왕전 qualifier"
201,U-League,KUSF College Baseball U-League,4,Group D,69,GMU,Gumi University,Baseball Team,50,standard,"Gumi: standard regional college program"
201,U-League,KUSF College Baseball U-League,4,Group D,70,DIST,Dongwon Institute of Science and Technology,Baseball Team,49,standard,"Dongwon IST: standard technical college program"
201,U-League,KUSF College Baseball U-League,4,Group D,71,DIT,Dong-Eui Institute of Technology,Baseball Team,68,college_strong,"Dong-Eui Institute of Technology: 2025 D-group winner at 8-1, recent college breakout"
201,U-League,KUSF College Baseball U-League,4,Group D,76,KMU,Keimyung University,Baseball Team,59,solid,"Keimyung: notable Daegu-area college program"
201,U-League,KUSF College Baseball U-League,4,Group D,78,DAU,Dong-A University,Baseball Team,73,college_elite,"Dong-A: traditional college power and recent top D-group qualifier"
201,U-League,KUSF College Baseball U-League,4,Group D,81,SSU,Suseong University,Baseball Team,54,solid,"Suseong: 2025 first 왕중왕전 qualifier, improving from a lower base"
201,U-League,KUSF College Baseball U-League,4,Group D,85,BIST,Busan Institute of Science and Technology,Baseball Team,58,solid,"BIST: 2025 D-group 왕중왕전 qualifier, stronger than a generic technical college"
201,U-League,KUSF College Baseball U-League,4,Group D,87,YU,Yeungnam University,Baseball Team,65,college_strong,"Yeungnam: strong regional college program"
201,U-League,KUSF College Baseball U-League,4,Group D,88,KSU,Kyungsung University,Baseball Team,57,solid,"Kyungsung: solid Busan-area college program"
201,U-League,KUSF College Baseball U-League,4,Group D,92,KIU,Kyungil University,Baseball Team,52,standard,"Kyungil: standard regional college program"
201,U-League,KUSF College Baseball U-League,5,Group E,48,SWU,Songwon University,Baseball Team,59,solid,"Songwon: solid Honam-region college profile"
201,U-League,KUSF College Baseball U-League,5,Group E,52,MSU,Mokpo Science University,Baseball Team,55,solid,"Mokpo Science: solid regional college program"
201,U-League,KUSF College Baseball U-League,5,Group E,57,HUPS,Hanil University&Presbyterian Theological Seminay,Baseball Team,50,standard,"Hanil: small-school profile, but 2024 E-group winner gives it real college-baseball weight"
201,U-League,KUSF College Baseball U-League,5,Group E,73,HWU,Howon University,Baseball Team,57,solid,"Howon: solid regional college program"
201,U-League,KUSF College Baseball U-League,5,Group E,75,DKGU,Donggang University,Baseball Team,51,standard,"Donggang: standard college program"
201,U-League,KUSF College Baseball U-League,5,Group E,91,WKU,Wonkwang University,Baseball Team,65,college_strong,"Wonkwang: established Honam-region college program"
201,U-League,KUSF College Baseball U-League,5,Group E,96,JKC,Jeonju Kijeon College,Baseball Team,48,standard,"Jeonju Kijeon: standard regional college program"
