# High-school team reputation seed for freshman join quality tuning.
# Source: saved_games/New Game61.lg/import_export/league_structure.xml, KBSA HS league.
# reputation uses a 1-100 scale; higher values should bias joined freshmen toward stronger quality.
# Values are curated starting points by tradition, regional profile, alumni/pipeline reputation, and club-vs-school status; tune after save results.
# TODO: allow reputation to drift from school results and player development outcomes in future seasons.
league_id,league_abbr,league_name,division_id,division_name,team_id,team_abbr,team_name,nick_name,reputation,tier,notes
203,KBSA,KBSA High School Baseball League,1,Seoul A,212,KGHS,"Kyunggi High School",Baseball Team,85,"strong","Kyunggi: old Seoul school with meaningful baseball tradition"
203,KBSA,KBSA High School Baseball League,1,Seoul A,215,JCHS,"Jangchung High School",Baseball Team,93,elite,"Jangchung: long-running Seoul power program"
203,KBSA,KBSA High School Baseball League,1,Seoul A,216,GDCH,"GD Challengers(U-18)",Baseball Club,46,"u18_development","GD Challengers U-18: club-style Seoul development program"
203,KBSA,KBSA High School Baseball League,1,Seoul A,222,DKHS,Deoksu High School,Baseball Team,96,"national_elite","Deoksu: top Seoul powerhouse and frequent national contender"
203,KBSA,KBSA High School Baseball League,1,Seoul A,225,KCHS,"Kyunggi Commercial High School",Baseball Team,81,solid,"Kyunggi Commercial: established Seoul baseball program"
203,KBSA,KBSA High School Baseball League,1,Seoul A,240,"SNHS","Shinil High School",Baseball Team,88,"strong_elite","Shinil: established Seoul baseball name"
203,KBSA,KBSA High School Baseball League,1,Seoul A,256,PCHS,Paichai High School,Baseball Team,85,"strong","Paichai: established Seoul program"
203,KBSA,KBSA High School Baseball League,1,Seoul A,280,"JNGH","Joongang High School",Baseball Team,80,solid,"Joongang: established Seoul program"
203,KBSA,KBSA High School Baseball League,1,Seoul A,300,SEOH,Seoul High School,Baseball Team,93,elite,"Seoul: historic Seoul baseball school with strong recruiting pull"
203,KBSA,KBSA High School Baseball League,2,Seoul B,210,"WHMN","Whimoon High School",Baseball Team,89,"strong_elite","Whimoon: old prestigious program with national titles"
203,KBSA,KBSA High School Baseball League,2,Seoul B,233,SHKB,Seoul HK Baseball(U-18),Baseball Club,46,"u18_development","Seoul HK Baseball U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,2,Seoul B,239,SAHS,Seoul Automobile High School,Baseball Team,75,"standard","Seoul Automobile: lower-profile Seoul high-school program"
203,KBSA,KBSA High School Baseball League,2,Seoul B,249,SDHS,"Seoul Design High School",Baseball Team,75,"standard","Seoul Design: lower-profile Seoul high-school program"
203,KBSA,KBSA High School Baseball League,2,Seoul B,266,SITH,Seoul IT High School,Baseball Club,44,club,"Seoul IT Baseball Club: club-style lower-reputation program"
203,KBSA,KBSA High School Baseball League,2,Seoul B,273,BMHS,"Baemyung High School",Baseball Team,86,"strong","Baemyung: Seoul program with notable alumni history"
203,KBSA,KBSA High School Baseball League,2,Seoul B,278,CHHS,"Chungam High School",Baseball Team,89,"strong_elite","Chungam: Seoul strong program with national profile"
203,KBSA,KBSA High School Baseball League,2,Seoul B,284,KDHS,"Kyungdong High School",Baseball Team,80,solid,"Kyungdong: established Seoul program"
203,KBSA,KBSA High School Baseball League,2,Seoul B,287,SDSH,"Seoul Dongsan High School",Baseball Team,77,"standard_plus","Seoul Dongsan: standard Seoul program; separate from Incheon Dongsan"
203,KBSA,KBSA High School Baseball League,3,Seoul C,206,HKBC,"Hankwang(U-18)",Baseball Club,45,"u18_development","Hankwang U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,3,Seoul C,229,CWHS,"Cheongwon High School",Baseball Team,81,solid,"Cheongwon: competitive Seoul program with upset potential"
203,KBSA,KBSA High School Baseball League,3,Seoul C,231,SMBC,"Semyung Computer High School",Baseball Club,43,club,"Semyung Computer Baseball Club: club-style lower-reputation program"
203,KBSA,KBSA High School Baseball League,3,Seoul C,244,"SRHS","Sunrin Internet High School",Baseball Team,85,"strong","Sunrin Internet: established Seoul baseball school"
203,KBSA,KBSA High School Baseball League,3,Seoul C,258,SHG,Seoul HG(U-18),Baseball Club,46,"u18_development","Seoul HG U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,3,Seoul C,270,WSHS,"Wooshin High School",Baseball Team,75,"standard","Wooshin: lower-profile Seoul high-school program"
203,KBSA,KBSA High School Baseball League,3,Seoul C,279,"SNGM","Seongnam High School",Baseball Team,84,"strong","Seongnam: established Seoul-area program"
203,KBSA,KBSA High School Baseball League,3,Seoul C,299,"SCON","Seoul Convention High School",Baseball Team,75,"standard","Seoul Convention: lower-profile Seoul high-school program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",205,BKHS,Bukil High School,Baseball Team,96,"national_elite","Bukil: national powerhouse anchor and steady pro pipeline"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",217,"CNSC","Cheonan CS(U-18)",Baseball Club,45,"u18_development","Cheonan CS U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",237,SJBC,"Sejong(U-18)",Baseball Club,45,"u18_development","Sejong U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",250,ASBC,"Asan(U-18)",Baseball Club,45,"u18_development","Asan U-18: club-style development program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",260,GJHS,"Gongju High School",Baseball Team,82,solid,"Gongju: established Chungcheong baseball program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",269,CJHS,"Cheongju High School",Baseball Team,84,"strong","Cheongju: established Chungbuk baseball program"
203,KBSA,KBSA High School Baseball League,4,"Chungcheong",275,SKHS,"Sekwang High School",Baseball Team,82,solid,"Sekwang: solid Chungbuk baseball program"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",199,SHC,"Suncheon Hyocheon High School",Baseball Team,79,solid,"Suncheon Hyocheon: regional high-school team baseline above club tier"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",203,"GNBC","Gwangnam High School",Baseball Club,42,club,"Gwangnam Baseball Club: club-style development program"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",211,HWS,"Hwasun High School",Baseball Team,79,solid,"Hwasun: regional Honam baseball school"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",245,GJH,"Gwangju Jinheung High School",Baseball Team,85,"strong","Gwangju Jinheung: competitive Gwangju program"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",268,GJE,"Gwangju Jeil High School",Baseball Team,96,"national_elite","Gwangju Jeil: historic national powerhouse with elite alumni pipeline"
203,KBSA,KBSA High School Baseball League,5,"Gwangju-Jeonnam",296,GDS,"Gwangju Dongsung High School",Baseball Team,88,"strong_elite","Gwangju Dongsung: established Honam baseball powerhouse"
